date,PRC,RET,RETX
19500814,47,-0.005291,-0.005291
19500815,47.25,0.005319,0.005319
19500816,46.875,-0.007937,-0.007937
19500817,47.25,0.008,0.008
19500818,47.875,0.013228,0.013228
19500821,48.125,0.005222,0.005222
19500822,48,-0.002597,-0.002597
19500823,47.875,-0.002604,-0.002604
19500824,47.5,-0.007833,-0.007833
19500825,47.25,-0.005263,-0.005263
19500828,47.625,0.007937,0.007937
19500829,48,0.007874,0.007874
19500830,47.625,-0.007813,-0.007813
19500831,47.75,0.002625,0.002625
19500901,48,0.005236,0.005236
19500905,48,0,0
19500906,47.375,-0.013021,-0.013021
19500907,47,-0.007916,-0.007916
19500908,46.875,-0.00266,-0.00266
19500911,46.25,-0.013333,-0.013333
19500912,46.5,0.005405,0.005405
19500913,46.625,0.002688,0.002688
19500914,46.875,0.005362,0.005362
19500915,47.5,0.013333,0.013333
19500918,47.875,0.007895,0.007895
19500919,47.625,-0.005222,-0.005222
19500920,46.875,-0.00315,-0.015748
19500921,47.25,0.008,0.008
19500922,47.25,0,0
19500925,47.25,0,0
19500926,46.625,-0.013228,-0.013228
19500927,47.25,0.013405,0.013405
19500928,47.375,0.002646,0.002646
19500929,47.5,0.002639,0.002639
19501002,48,0.010526,0.010526
19501003,47.625,-0.007813,-0.007813
19501004,47.75,0.002625,0.002625
19501005,47.75,0,0
19501006,48.125,0.007853,0.007853
19501007,48.5,0.007792,0.007792
19501009,48.75,0.005155,0.005155
19501010,48.5,-0.005128,-0.005128
19501011,48.75,0.005155,0.005155
19501013,49,0.005128,0.005128
19501014,48.875,-0.002551,-0.002551
